,index,StudioProjectName,StudioTestName,ParticipantName,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),RecordingTimestamp,StudioEventData,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),Unnamed: 14,participant_identifier
37,294,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4887,,357.0,358.0,532.0,357.0,224.62,215.87,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
38,295,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4904,,357.0,358.0,527.0,362.0,224.66,215.75,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
39,296,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4920,,357.0,358.0,526.0,356.0,224.67,215.72,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
40,297,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4937,,357.0,358.0,526.0,359.0,224.66,215.74,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
41,298,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4954,,357.0,358.0,528.0,360.0,224.65,215.65,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
42,299,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4970,,357.0,358.0,533.0,357.0,224.66,215.52,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
43,300,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4987,,,,507.0,362.0,224.62,215.52,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
44,301,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5004,,,,444.0,370.0,224.4,215.5,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
45,302,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5020,,,,464.0,365.0,224.4,215.51,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
46,303,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5037,,283.0,368.0,457.0,367.0,224.42,215.61,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
47,304,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5054,,283.0,368.0,453.0,368.0,224.45,215.57,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
48,305,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5070,,283.0,368.0,451.0,370.0,224.47,215.5,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
49,306,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5087,,283.0,368.0,454.0,364.0,224.48,215.49,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
50,307,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5103,,283.0,368.0,455.0,370.0,224.47,215.51,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
51,308,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,5120,,283.0,368.0,454.0,365.0,224.44,215.56,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
