         1423357 function calls (1413174 primitive calls) in 5.420 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4612    0.002    0.000    0.019    0.000 common.py:610(<genexpr>)
     3633    0.002    0.000    0.005    0.000 abc.py:137(__instancecheck__)
     3199    0.002    0.000    0.002    0.000 inference.py:322(is_hashable)
      144    0.002    0.000    0.011    0.000 common.py:210(_get_filepath_or_buffer)
      144    0.002    0.000    0.002    0.000 parsers.py:876(_clean_options)
     1008    0.002    0.000    0.014    0.000 <__array_function__ internals>:2(putmask)
     1158    0.002    0.000    0.002    0.000 base.py:563(_reset_identity)
      144    0.001    0.000    0.434    0.003 parsers.py:1039(_make_engine)
     9092    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      144    0.001    0.000    0.005    0.000 range.py:85(__new__)
      290    0.001    0.000    0.005    0.000 managers.py:318(_verify_integrity)
      144    0.001    0.000    0.012    0.000 series.py:4149(_reduce)
      144    0.001    0.000    0.023    0.000 managers.py:376(apply)
      433    0.001    0.000    0.007    0.000 {built-in method builtins.sorted}
      144    0.001    0.000    0.013    0.000 frame.py:3833(_sanitize_column)
     1173    0.001    0.000    0.023    0.000 {built-in method builtins.any}
      720    0.001    0.000    0.003    0.000 concat.py:190(needs_filling)
      288    0.001    0.000    0.001    0.000 parsers.py:394(validate_integer)
      870    0.001    0.000    0.041    0.000 concat.py:491(<genexpr>)
      145    0.001    0.000    0.161    0.001 managers.py:1906(_consolidate)
        6    0.001    0.000    0.004    0.001 concat.py:24(_get_dtype_kinds)
     9955    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      144    0.001    0.000    0.001    0.000 {built-in method builtins.locals}
     2787    0.001    0.000    0.002    0.000 base.py:600(__len__)
      149    0.001    0.000    0.001    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
      144    0.001    0.000    0.003    0.000 parse.py:420(urlsplit)
      864    0.001    0.000    0.040    0.000 concat.py:209(is_na)
      144    0.001    0.000    0.014    0.000 generic.py:4564(reindex)
     1296    0.001    0.000    0.003    0.000 common.py:757(is_signed_integer_dtype)
      320    0.001    0.000    0.002    0.000 posixpath.py:75(join)
      590    0.001    0.000    0.003    0.000 series.py:538(name)
      151    0.001    0.000    0.001    0.000 {built-in method setText}
        1    0.001    0.001    0.082    0.082 controller.py:84(load_participants)
        7    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      171    0.001    0.000    0.001    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.001    0.001 {method '_parse_whole' of 'xml.etree.ElementTree.XMLParser' objects}
       11    0.001    0.000    0.149    0.014 frame.py:2987(__getitem__)
      737    0.001    0.000    0.002    0.000 series.py:488(name)
      290    0.001    0.000    0.002    0.000 shape_base.py:82(atleast_2d)
      432    0.001    0.000    0.002    0.000 parsers.py:1097(_is_potential_multi_index)
      144    0.001    0.000    0.153    0.001 managers.py:1690(create_block_manager_from_arrays)
      146    0.001    0.000    0.001    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      162    0.001    0.000    0.001    0.000 {built-in method addWidget}
     2314    0.001    0.000    0.002    0.000 common.py:129(cast_scalar_indexer)
      432    0.001    0.000    0.002    0.000 inference.py:263(is_dict_like)
      144    0.001    0.000    0.084    0.001 series.py:372(_init_dict)
      144    0.001    0.000    0.057    0.000 base.py:5545(insert)
     1296    0.001    0.000    0.003    0.000 common.py:813(is_unsigned_integer_dtype)
      732    0.001    0.000    0.001    0.000 flags.py:47(__init__)
      720    0.001    0.000    0.006    0.000 base.py:5970(_maybe_cast_with_dtype)
      434    0.001    0.000    0.002    0.000 managers.py:689(_consolidate_check)
     1153    0.001    0.000    0.021    0.000 common.py:605(is_excluded_dtype)
      144    0.001    0.000    0.011    0.000 managers.py:1951(_fast_count_smallints)
      575    0.001    0.000    0.001    0.000 {pandas._libs.lib.array_equivalent_object}
      575    0.001    0.000    0.003    0.000 missing.py:465(_array_equivalent_object)
     4204    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_scalar}
        3    0.001    0.000    0.247    0.082 model_participant_selection.py:67(import_stimuli_filtered_participant_selection)
      288    0.001    0.000    0.003    0.000 range.py:133(_simple_new)
     5253    0.001    0.000    0.001    0.000 blocks.py:265(mgr_locs)
      288    0.001    0.000    0.002    0.000 _ufunc_config.py:32(seterr)
      291    0.001    0.000    0.016    0.000 managers.py:1577(from_array)
      144    0.001    0.000    0.031    0.000 generic.py:5889(copy)
      144    0.001    0.000    0.004    0.000 parsers.py:1371(_validate_parse_dates_presence)
      144    0.001    0.000    0.001    0.000 {pandas._libs.internals.get_blkno_placements}
       33    0.001    0.000    0.001    0.000 ElementPath.py:265(iterfind)
     1169    0.001    0.000    0.006    0.000 {method 'any' of 'numpy.ndarray' objects}
      144    0.001    0.000    0.097    0.001 generic.py:3824(_set_item)
      144    0.001    0.000    0.005    0.000 nanops.py:243(_get_values)
      867    0.001    0.000    0.001    0.000 blocks.py:2757(extend_blocks)
     1153    0.001    0.000    0.022    0.000 common.py:602(condition)
      864    0.001    0.000    0.001    0.000 concat.py:179(__init__)
     3069    0.001    0.000    0.003    0.000 managers.py:208(<genexpr>)
      440    0.001    0.000    0.003    0.000 series.py:439(_set_axis)
      288    0.001    0.000    0.002    0.000 common.py:878(_is_binary_mode)
      144    0.001    0.000    0.001    0.000 {built-in method pandas._libs.lib.is_datetime_array}
      578    0.001    0.000    0.001    0.000 _asarray.py:382(<setcomp>)
     2019    0.001    0.000    0.001    0.000 {pandas._libs.algos.ensure_object}
      446    0.001    0.000    0.003    0.000 blocks.py:288(make_block_same_class)
      288    0.001    0.000    0.001    0.000 _ufunc_config.py:132(geterr)
        1    0.001    0.001    0.215    0.215 concat.py:469(get_result)
      725    0.001    0.000    0.001    0.000 managers.py:1626(internal_values)
      144    0.001    0.000    0.149    0.001 frame.py:3765(assign)
     3639    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     1465    0.001    0.000    0.001    0.000 blocks.py:161(_check_ndim)
      432    0.001    0.000    0.002    0.000 _dtype.py:34(__str__)
      144    0.001    0.000    0.013    0.000 generic.py:10565(_logical_func)
  356/157    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      144    0.001    0.000    0.112    0.001 frame.py:3231(_set_item)
       28    0.001    0.000    0.001    0.000 {built-in method setObjectName}
     1157    0.001    0.000    0.001    0.000 common.py:355(is_datetime64_dtype)
      446    0.001    0.000    0.001    0.000 generic.py:5449(__getattr__)
      168    0.001    0.000    0.001    0.000 {built-in method posix.lstat}
     1446    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x10c2a03a8}
     3510    0.001    0.000    0.001    0.000 blocks.py:347(dtype)
      288    0.001    0.000    0.004    0.000 function_base.py:4690(append)
      432    0.001    0.000    0.020    0.000 blocks.py:752(copy)
        3    0.001    0.000    0.001    0.000 {method 'take' of 'numpy.ndarray' objects}
     3456    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      144    0.001    0.000    0.117    0.001 frame.py:3147(__setitem__)
        3    0.001    0.000    0.001    0.000 view_participant_selection.py:119(clear)
      144    0.001    0.000    0.002    0.000 common.py:438(infer_compression)
      291    0.001    0.000    0.198    0.001 generic.py:5522(_protect_consolidate)
      144    0.001    0.000    0.001    0.000 base.py:796(__iter__)
      434    0.001    0.000    0.001    0.000 managers.py:690(<listcomp>)
